FECHA;Precipitación: l/m2;FECHA;Precipitación: l/m2;FECHA;Precipitación: l/m2;FECHA;Precipitación: l/m2;FECHA;Precipitación: l/m2;FECHA;Precipitación: l/m2;FECHA;Precipitación: l/m2;FECHA;Precipitación: l/m2;FECHA;Precipitación: l/m2;FECHA;Precipitación: l/m2;FECHA;Precipitación: l/m2;FECHA;Precipitación: l/m2;FECHA;Precipitación: l/m2;FECHA;Precipitación: l/m2;FECHA;Precipitación: l/m2;FECHA;Precipitación: l/m2;FECHA;Precipitación: l/m2;FECHA;Precipitación: l/m2;FECHA;Precipitación: l/m2;FECHA;Precipitación: l/m2;FECHA;Precipitación: l/m2;FECHA;Precipitación: l/m2;FECHA;Precipitación: l/m2;FECHA;Precipitación: l/m2;FECHA;Precipitación: l/m2;FECHA;Precipitación: l/m2;FECHA;Precipitación: l/m2;FECHA;Precipitación: l/m2;FECHA;Precipitación: l/m2;FECHA;Precipitación: l/m2;FECHA;Precipitación: l/m2
07/05/2013;0;18/07/2013;0;28/09/2013;2;05/06/2014;0;15/08/2014;0;24/10/2014;0;01/01/2015;0;03/05/2015;0.4;02/09/2015;12.2;01/01/2016;1.4;02/05/2016;0;01/09/2016;0;01/01/2017;0;04/05/2017;0;02/09/2017;0;01/01/2018;0.4;03/05/2018;1;02/09/2018;0;01/01/2019;0;23/04/2019;1.2;12/08/2019;0;01/01/2020;0;04/05/2020;0.4;03/09/2020;0;01/01/2021;0;03/05/2021;2.4;02/09/2021;0.6;01/01/2022;0;02/05/2022;0;31/08/2022;;01/01/2023;0
08/05/2013;0;19/07/2013;0;29/09/2013;0;06/06/2014;0;16/08/2014;0;25/10/2014;0;02/01/2015;0;04/05/2015;0;03/09/2015;0.2;02/01/2016;;03/05/2016;0;02/09/2016;0;02/01/2017;0;05/05/2017;0.6;03/09/2017;0;02/01/2018;0;04/05/2018;0;03/09/2018;1.2;02/01/2019;0;24/04/2019;9.8;13/08/2019;0;02/01/2020;0;05/05/2020;0;04/09/2020;0;02/01/2021;0;04/05/2021;0;03/09/2021;1;02/01/2022;0;03/05/2022;0.2;01/09/2022;;02/01/2023;0.6
09/05/2013;0;20/07/2013;0.2;30/09/2013;0;07/06/2014;0;17/08/2014;0;26/10/2014;;03/01/2015;0;05/05/2015;0;04/09/2015;0;03/01/2016;;04/05/2016;0;03/09/2016;0;03/01/2017;0;06/05/2017;0;04/09/2017;0;03/01/2018;0;05/05/2018;0;04/09/2018;0.8;03/01/2019;0;25/04/2019;7.4;14/08/2019;0;03/01/2020;0;06/05/2020;0;05/09/2020;0;03/01/2021;0;05/05/2021;0;04/09/2021;0;03/01/2022;0;04/05/2022;0;02/09/2022;;03/01/2023;0
10/05/2013;0;21/07/2013;0.2;01/10/2013;;08/06/2014;0;18/08/2014;0;27/10/2014;0;04/01/2015;0;06/05/2015;0;05/09/2015;0;04/01/2016;11.2;05/05/2016;0.4;04/09/2016;0;04/01/2017;0;07/05/2017;0;05/09/2017;0;04/01/2018;0;06/05/2018;0;05/09/2018;6;04/01/2019;0;26/04/2019;0;15/08/2019;0.2;04/01/2020;0;07/05/2020;0;06/09/2020;0;04/01/2021;0;06/05/2021;0;05/09/2021;0;04/01/2022;3.6;05/05/2022;0;03/09/2022;;04/01/2023;0
11/05/2013;0;22/07/2013;9.2;02/10/2013;1.4;09/06/2014;0;19/08/2014;0;28/10/2014;0;05/01/2015;0;07/05/2015;0;06/09/2015;0;05/01/2016;;06/05/2016;0.4;05/09/2016;0;05/01/2017;0;08/05/2017;0;06/09/2017;0;05/01/2018;6.4;07/05/2018;0;06/09/2018;0.2;05/01/2019;0;27/04/2019;0;16/08/2019;0;05/01/2020;0;08/05/2020;2.4;07/09/2020;0;05/01/2021;0;07/05/2021;0;06/09/2021;0;05/01/2022;0;06/05/2022;0;04/09/2022;;05/01/2023;0
12/05/2013;0;23/07/2013;5.8;03/10/2013;0;11/06/2014;0;20/08/2014;0;29/10/2014;0;06/01/2015;0;08/05/2015;0;07/09/2015;0;06/01/2016;2.2;07/05/2016;1.8;06/09/2016;0;06/01/2017;0;09/05/2017;0.8;07/09/2017;0;06/01/2018;12.4;08/05/2018;0;07/09/2018;0;06/01/2019;0;28/04/2019;0;17/08/2019;0;06/01/2020;0;09/05/2020;16;08/09/2020;0;06/01/2021;0;08/05/2021;0;07/09/2021;0;06/01/2022;0;07/05/2022;0;05/09/2022;;06/01/2023;0
13/05/2013;0;24/07/2013;0;04/10/2013;;12/06/2014;0;21/08/2014;0;30/10/2014;0;07/01/2015;0;09/05/2015;0;08/09/2015;0;07/01/2016;0;08/05/2016;9.2;07/09/2016;0;07/01/2017;0;10/05/2017;0;08/09/2017;0;07/01/2018;3.8;09/05/2018;0;08/09/2018;1;07/01/2019;0;29/04/2019;0;18/08/2019;0;07/01/2020;0;10/05/2020;14.4;09/09/2020;0;07/01/2021;0;09/05/2021;0;08/09/2021;0;07/01/2022;0.8;08/05/2022;0;06/09/2022;;07/01/2023;6.6
14/05/2013;0;25/07/2013;0.2;05/10/2013;0;13/06/2014;0;22/08/2014;0.8;31/10/2014;0;08/01/2015;0;10/05/2015;0;09/09/2015;0;08/01/2016;;09/05/2016;2.6;08/09/2016;0;08/01/2017;0;11/05/2017;0;09/09/2017;2.4;08/01/2018;0;10/05/2018;0.4;09/09/2018;1;08/01/2019;0;30/04/2019;0;19/08/2019;0;08/01/2020;0;11/05/2020;10;10/09/2020;0;08/01/2021;0;10/05/2021;0;09/09/2021;7.6;08/01/2022;0;09/05/2022;0;07/09/2022;;08/01/2023;4.6
15/05/2013;0;26/07/2013;0.2;06/10/2013;2.4;14/06/2014;0;23/08/2014;0;01/11/2014;0;09/01/2015;0;11/05/2015;0;10/09/2015;0;09/01/2016;;10/05/2016;2.6;09/09/2016;0;09/01/2017;0;12/05/2017;0;10/09/2017;1.2;09/01/2018;1.2;11/05/2018;0;10/09/2018;0;09/01/2019;0.2;01/05/2019;0;20/08/2019;0;09/01/2020;2.6;12/05/2020;25.4;11/09/2020;0;09/01/2021;0;11/05/2021;0.2;10/09/2021;1.6;09/01/2022;6.4;10/05/2022;0;08/09/2022;;09/01/2023;3.4
16/05/2013;0;27/07/2013;0;07/10/2013;0;15/06/2014;0;24/08/2014;0;02/11/2014;8.2;10/01/2015;0;12/05/2015;0;11/09/2015;0;10/01/2016;10.6;11/05/2016;0;10/09/2016;0;10/01/2017;10.8;13/05/2017;0;11/09/2017;0;10/01/2018;0;12/05/2018;3;11/09/2018;0;10/01/2019;0.2;02/05/2019;0;21/08/2019;0;10/01/2020;0.4;13/05/2020;5;12/09/2020;0;10/01/2021;0;12/05/2021;6;11/09/2021;0;10/01/2022;0.6;11/05/2022;0.4;09/09/2022;;10/01/2023;0
17/05/2013;7.2;28/07/2013;2.4;08/10/2013;0;16/06/2014;0;25/08/2014;0;03/11/2014;7;11/01/2015;0;13/05/2015;0;12/09/2015;0;11/01/2016;4;12/05/2016;3.6;11/09/2016;0;11/01/2017;1.2;14/05/2017;0;12/09/2017;0;11/01/2018;0.2;13/05/2018;0.2;12/09/2018;0;11/01/2019;0;03/05/2019;3;22/08/2019;0;11/01/2020;0;14/05/2020;0;13/09/2020;0;11/01/2021;0;13/05/2021;1.8;12/09/2021;0;11/01/2022;0;12/05/2022;3.4;10/09/2022;;11/01/2023;5.4
18/05/2013;1;29/07/2013;0;09/10/2013;0;17/06/2014;0;26/08/2014;0;04/11/2014;;12/01/2015;0;14/05/2015;0;13/09/2015;0;12/01/2016;0.2;13/05/2016;1.2;12/09/2016;0;12/01/2017;0.2;15/05/2017;0;13/09/2017;0;12/01/2018;0;14/05/2018;0.8;13/09/2018;0;12/01/2019;0.6;04/05/2019;0;23/08/2019;0;12/01/2020;0;15/05/2020;0;14/09/2020;0;12/01/2021;0;14/05/2021;0;13/09/2021;0.2;12/01/2022;0;13/05/2022;0.2;11/09/2022;;12/01/2023;0
19/05/2013;;30/07/2013;0;10/10/2013;0.2;18/06/2014;0;27/08/2014;0;05/11/2014;;13/01/2015;0;15/05/2015;0;14/09/2015;0;13/01/2016;0;14/05/2016;1.2;13/09/2016;3;13/01/2017;1.6;16/05/2017;0;14/09/2017;0;13/01/2018;2.2;15/05/2018;0;14/09/2018;0;13/01/2019;0;05/05/2019;0;24/08/2019;0;13/01/2020;0;16/05/2020;0.4;15/09/2020;2.6;13/01/2021;0;15/05/2021;0.2;14/09/2021;0.8;13/01/2022;0;14/05/2022;1;12/09/2022;;13/01/2023;0
20/05/2013;0;31/07/2013;0;11/10/2013;0;19/06/2014;0;28/08/2014;0;06/11/2014;0.2;14/01/2015;0;16/05/2015;0;15/09/2015;0.4;14/01/2016;;15/05/2016;0;14/09/2016;3.6;14/01/2017;1.4;17/05/2017;4.2;15/09/2017;0.2;14/01/2018;0;16/05/2018;0;15/09/2018;0;14/01/2019;0;06/05/2019;0;25/08/2019;0;14/01/2020;0;17/05/2020;0;16/09/2020;0;14/01/2021;0;16/05/2021;1.8;15/09/2021;0;14/01/2022;0;15/05/2022;0.6;13/09/2022;;14/01/2023;0
21/05/2013;0.2;01/08/2013;0;12/10/2013;0;20/06/2014;11.2;29/08/2014;0;07/11/2014;2.2;15/01/2015;;17/05/2015;0;16/09/2015;1.2;15/01/2016;5;16/05/2016;0;15/09/2016;1.4;15/01/2017;0.2;18/05/2017;26.6;16/09/2017;0.2;15/01/2018;0;17/05/2018;0;16/09/2018;0;15/01/2019;0;07/05/2019;0;26/08/2019;0;15/01/2020;0;18/05/2020;0;17/09/2020;1;15/01/2021;0;17/05/2021;0;16/09/2021;5.6;15/01/2022;0;16/05/2022;0;14/09/2022;;15/01/2023;6.4
22/05/2013;0;02/08/2013;0;13/10/2013;;21/06/2014;5.6;30/08/2014;0;08/11/2014;;16/01/2015;2.6;18/05/2015;0;17/09/2015;6.2;16/01/2016;;17/05/2016;0;16/09/2016;7;16/01/2017;0.2;19/05/2017;0;17/09/2017;0;16/01/2018;0;18/05/2018;0;17/09/2018;0;16/01/2019;0;08/05/2019;0.2;27/08/2019;0;16/01/2020;0;19/05/2020;0;18/09/2020;15.2;16/01/2021;0;18/05/2021;0;17/09/2021;0.2;16/01/2022;0;17/05/2022;0;15/09/2022;;16/01/2023;14
23/05/2013;0;03/08/2013;0;14/10/2013;0;22/06/2014;2;31/08/2014;0;09/11/2014;;17/01/2015;0;19/05/2015;0.2;18/09/2015;;17/01/2016;;18/05/2016;0;17/09/2016;0;17/01/2017;0;20/05/2017;0;18/09/2017;4;17/01/2018;0;19/05/2018;0;18/09/2018;1.6;17/01/2019;0;09/05/2019;1.4;28/08/2019;0;17/01/2020;1.4;20/05/2020;0;19/09/2020;20.6;17/01/2021;0;19/05/2021;0;18/09/2021;5.2;17/01/2022;0;18/05/2022;0;16/09/2022;;17/01/2023;4
24/05/2013;0.4;04/08/2013;0;15/10/2013;0;23/06/2014;30.4;01/09/2014;0;10/11/2014;0;18/01/2015;3.8;20/05/2015;3.6;19/09/2015;0;18/01/2016;;19/05/2016;0;18/09/2016;0;18/01/2017;0;21/05/2017;0;19/09/2017;0;18/01/2018;0;20/05/2018;0;19/09/2018;0;18/01/2019;0;10/05/2019;1;29/08/2019;0;18/01/2020;18.4;21/05/2020;0;20/09/2020;3;18/01/2021;0;20/05/2021;0;19/09/2021;0;18/01/2022;0;19/05/2022;0;17/09/2022;;18/01/2023;12.6
25/05/2013;0;05/08/2013;0;16/10/2013;0;24/06/2014;0;02/09/2014;0;11/11/2014;1;19/01/2015;7.4;21/05/2015;1;20/09/2015;0;19/01/2016;0;20/05/2016;0;19/09/2016;0;19/01/2017;0;22/05/2017;0.2;20/09/2017;0;19/01/2018;0.6;21/05/2018;0.4;20/09/2018;0;19/01/2019;5.6;11/05/2019;0;30/08/2019;0;19/01/2020;0.8;22/05/2020;0;21/09/2020;0;19/01/2021;0;21/05/2021;3.8;20/09/2021;1.6;19/01/2022;0;20/05/2022;0;18/09/2022;;19/01/2023;9.2
26/05/2013;2.4;06/08/2013;6;17/10/2013;0;25/06/2014;0;03/09/2014;0;12/11/2014;0;20/01/2015;0.2;22/05/2015;0;21/09/2015;0;20/01/2016;0;21/05/2016;3;20/09/2016;0;20/01/2017;0;23/05/2017;0;21/09/2017;0.2;20/01/2018;0.2;22/05/2018;0;21/09/2018;0;20/01/2019;6;12/05/2019;0;31/08/2019;0;20/01/2020;0;23/05/2020;0;22/09/2020;0;20/01/2021;0;22/05/2021;0;21/09/2021;1.2;20/01/2022;0.6;21/05/2022;0;19/09/2022;;20/01/2023;0
27/05/2013;15;07/08/2013;3.4;18/10/2013;0;26/06/2014;2.2;04/09/2014;0;13/11/2014;0.2;21/01/2015;6.4;23/05/2015;0;22/09/2015;0;21/01/2016;;22/05/2016;4;21/09/2016;0;21/01/2017;0;24/05/2017;0;22/09/2017;0;21/01/2018;0;23/05/2018;1;22/09/2018;0;21/01/2019;1.6;13/05/2019;0;01/09/2019;0;21/01/2020;5.2;24/05/2020;0;23/09/2020;0.6;21/01/2021;0;23/05/2021;0;22/09/2021;0.2;21/01/2022;0;22/05/2022;3;20/09/2022;;21/01/2023;0.2
28/05/2013;5.8;08/08/2013;0;19/10/2013;0;27/06/2014;0;05/09/2014;;14/11/2014;5.4;22/01/2015;16.8;24/05/2015;0;23/09/2015;3.6;22/01/2016;;23/05/2016;0;22/09/2016;0;22/01/2017;0;25/05/2017;0.2;23/09/2017;0;22/01/2018;0;24/05/2018;5.2;23/09/2018;0;22/01/2019;3;14/05/2019;0;02/09/2019;0;22/01/2020;0.2;25/05/2020;0;24/09/2020;0;22/01/2021;0;24/05/2021;1.4;23/09/2021;0;22/01/2022;0;23/05/2022;0;21/09/2022;;22/01/2023;0
29/05/2013;0.4;09/08/2013;0;20/10/2013;0;28/06/2014;0;06/09/2014;0;15/11/2014;2.8;23/01/2015;1.4;25/05/2015;0;24/09/2015;0.2;23/01/2016;0;24/05/2016;0;23/09/2016;0;23/01/2017;0;26/05/2017;6.4;24/09/2017;0;23/01/2018;0;25/05/2018;9.6;24/09/2018;0;23/01/2019;8.2;15/05/2019;0;03/09/2019;0;23/01/2020;0;26/05/2020;0;25/09/2020;1.4;23/01/2021;0;25/05/2021;0;24/09/2021;1.8;23/01/2022;0;24/05/2022;0.6;22/09/2022;;23/01/2023;0
30/05/2013;0.4;10/08/2013;0;21/10/2013;0;29/06/2014;0;08/09/2014;0;16/11/2014;14.2;24/01/2015;0.2;26/05/2015;0;25/09/2015;2;24/01/2016;0.2;25/05/2016;0;24/09/2016;0;24/01/2017;0;27/05/2017;0;25/09/2017;0;24/01/2018;0;26/05/2018;19.4;25/09/2018;0;24/01/2019;8.6;16/05/2019;6;04/09/2019;0;24/01/2020;0;27/05/2020;0;26/09/2020;2.8;24/01/2021;0;26/05/2021;0;25/09/2021;5.6;24/01/2022;0;25/05/2022;0;23/09/2022;;24/01/2023;0
31/05/2013;0;11/08/2013;0;22/10/2013;2.8;30/06/2014;0;09/09/2014;0;17/11/2014;12;25/01/2015;0;27/05/2015;0;26/09/2015;0;25/01/2016;0;26/05/2016;0;25/09/2016;0;25/01/2017;0;28/05/2017;0;26/09/2017;0;25/01/2018;9.4;27/05/2018;0.2;26/09/2018;0;25/01/2019;0.8;17/05/2019;14.2;05/09/2019;0;25/01/2020;3.6;28/05/2020;0;27/09/2020;0.4;25/01/2021;;27/05/2021;0;26/09/2021;0;25/01/2022;0;26/05/2022;0;24/09/2022;;25/01/2023;0.4
01/06/2013;0;12/08/2013;0.4;23/10/2013;0.2;01/07/2014;0.6;10/09/2014;0;18/11/2014;0;26/01/2015;0;28/05/2015;0;27/09/2015;0;26/01/2016;0;27/05/2016;0.2;26/09/2016;0;26/01/2017;0;29/05/2017;1.8;27/09/2017;0;26/01/2018;9.2;28/05/2018;0;27/09/2018;0;26/01/2019;0;18/05/2019;3;06/09/2019;0;26/01/2020;0.2;29/05/2020;0;28/09/2020;0;26/01/2021;;28/05/2021;12.2;27/09/2021;0;26/01/2022;0;27/05/2022;0;25/09/2022;;26/01/2023;3.8
02/06/2013;0.4;13/08/2013;0;24/10/2013;0;02/07/2014;0;11/09/2014;0;19/11/2014;0;27/01/2015;0;29/05/2015;0;28/09/2015;0;27/01/2016;0;28/05/2016;2.6;27/09/2016;0;27/01/2017;0.4;30/05/2017;0;28/09/2017;0;27/01/2018;0.6;29/05/2018;0.4;28/09/2018;0;27/01/2019;0;19/05/2019;0.4;07/09/2019;0;27/01/2020;0;30/05/2020;0;29/09/2020;0;27/01/2021;;29/05/2021;5.6;28/09/2021;0;27/01/2022;0;28/05/2022;0;26/09/2022;;27/01/2023;1.4
03/06/2013;;14/08/2013;;25/10/2013;2;03/07/2014;0;12/09/2014;0;20/11/2014;;28/01/2015;0;30/05/2015;0;29/09/2015;0;28/01/2016;7;29/05/2016;9.6;28/09/2016;0;28/01/2017;0;31/05/2017;0;29/09/2017;0;28/01/2018;0;30/05/2018;14.4;29/09/2018;0;28/01/2019;1.8;20/05/2019;0;08/09/2019;0;28/01/2020;0.8;31/05/2020;0;30/09/2020;0;28/01/2021;;30/05/2021;0;29/09/2021;0;28/01/2022;0;29/05/2022;0;29/09/2022;;28/01/2023;0.2
04/06/2013;0;15/08/2013;;26/10/2013;0;04/07/2014;6.2;13/09/2014;0;21/11/2014;0;29/01/2015;0.2;31/05/2015;0;30/09/2015;;29/01/2016;0;30/05/2016;0.8;29/09/2016;0;29/01/2017;0.2;01/06/2017;0;30/09/2017;0;29/01/2018;0;31/05/2018;2.6;30/09/2018;0;29/01/2019;1;21/05/2019;0;09/09/2019;0;29/01/2020;0;01/06/2020;0;01/10/2020;0;29/01/2021;;31/05/2021;1.8;30/09/2021;0;29/01/2022;0;30/05/2022;0;30/09/2022;;29/01/2023;0
05/06/2013;0;16/08/2013;0;27/10/2013;0;05/07/2014;0;14/09/2014;0;22/11/2014;0.4;30/01/2015;17.4;01/06/2015;0;01/10/2015;0;30/01/2016;0;31/05/2016;0;30/09/2016;0.8;30/01/2017;0;02/06/2017;7.8;01/10/2017;0.2;30/01/2018;0;01/06/2018;7.6;01/10/2018;0;30/01/2019;2.6;22/05/2019;0;10/09/2019;6.6;30/01/2020;0.4;02/06/2020;0;02/10/2020;19.6;30/01/2021;0.6;01/06/2021;12.2;01/10/2021;0;30/01/2022;0;31/05/2022;0;01/10/2022;0;30/01/2023;0
06/06/2013;0.2;17/08/2013;0;28/10/2013;0.6;06/07/2014;16.6;15/09/2014;0;23/11/2014;0;31/01/2015;29.6;02/06/2015;0;02/10/2015;0;31/01/2016;0;01/06/2016;0;01/10/2016;0;31/01/2017;0;03/06/2017;8.4;02/10/2017;0.2;31/01/2018;0;02/06/2018;2.4;02/10/2018;0;31/01/2019;17.4;23/05/2019;1.2;11/09/2019;0.8;31/01/2020;0;03/06/2020;6.6;03/10/2020;0.8;31/01/2021;;02/06/2021;0;02/10/2021;0;31/01/2022;0;01/06/2022;0;02/10/2022;0;31/01/2023;0
07/06/2013;13.8;18/08/2013;0;29/10/2013;5;07/07/2014;0;16/09/2014;0;24/11/2014;2.2;01/02/2015;15.4;03/06/2015;0;03/10/2015;0;01/02/2016;0;02/06/2016;0;02/10/2016;0;01/02/2017;0;04/06/2017;12;03/10/2017;0;01/02/2018;1.4;03/06/2018;1.4;03/10/2018;0;01/02/2019;2.4;24/05/2019;6.6;12/09/2019;0;01/02/2020;0;04/06/2020;0;04/10/2020;2.6;01/02/2021;;03/06/2021;3.2;03/10/2021;10;01/02/2022;2;02/06/2022;0;03/10/2022;0;;
08/06/2013;6;19/08/2013;0;30/10/2013;0;08/07/2014;0;17/09/2014;0;25/11/2014;4;02/02/2015;1;04/06/2015;0;04/10/2015;1.4;02/02/2016;;03/06/2016;1.2;03/10/2016;0;02/02/2017;3.2;05/06/2017;0;04/10/2017;0;02/02/2018;5.8;04/06/2018;1.4;04/10/2018;0;02/02/2019;26.4;25/05/2019;0;13/09/2019;0;02/02/2020;0;05/06/2020;0;05/10/2020;0;02/02/2021;;04/06/2021;4.4;04/10/2021;0;02/02/2022;0;03/06/2022;0;04/10/2022;0;;
09/06/2013;14;20/08/2013;0;31/10/2013;0;09/07/2014;0;18/09/2014;0;26/11/2014;;03/02/2015;17;05/06/2015;0;05/10/2015;;03/02/2016;;04/06/2016;0;04/10/2016;0;03/02/2017;1.2;06/06/2017;0;05/10/2017;0;03/02/2018;0.2;05/06/2018;7.2;05/10/2018;0;03/02/2019;2.3;26/05/2019;0;14/09/2019;0.4;03/02/2020;0;06/06/2020;14;06/10/2020;0;03/02/2021;;05/06/2021;0;05/10/2021;0;03/02/2022;0;04/06/2022;0;05/10/2022;0;;
10/06/2013;0;21/08/2013;0;01/11/2013;;10/07/2014;0;19/09/2014;0;27/11/2014;;04/02/2015;9;06/06/2015;0;06/10/2015;;04/02/2016;;05/06/2016;0;05/10/2016;0;04/02/2017;3;07/06/2017;0;06/10/2017;0;04/02/2018;0.4;06/06/2018;0;06/10/2018;0;04/02/2019;0;27/05/2019;0;15/09/2019;13.6;04/02/2020;0;07/06/2020;3.4;07/10/2020;0;04/02/2021;;06/06/2021;0;06/10/2021;0;04/02/2022;0;05/06/2022;0;06/10/2022;0;;
